brand_alias_norm,brand_std,brand_group,supermarket,is_private_label,priority
ybarra,Ybarra,Grupo Ybarra Alimentación,,false,210
aneto,Aneto,Adam Foods,,false,210
vitis,Vitis,Dentaid,,false,210
fairy,Fairy,Procter & Gamble,,false,210
rexona,Rexona,Unilever,,false,210
carbonell,Carbonell,Deoleo,,false,210
maggi,Maggi,Nestlé,,false,210
bo de debo,Bo De Debó,,,false,210
delikuit,Delikuit,,,false,210
pato,Pato,SC Johnson,,false,210
la gula del norte,La Gula del Norte,Angulas Aguinaga,,false,210
suavinex,Suavinex,,,false,210
elvive,Elvive,L'Oréal,,false,210
hellmanns,Hellmann's,Unilever,,false,210
air wick,Air Wick,Reckitt,,false,210
